NAZWA_A;NAZWA_B;PODOBIENSTWO;POZIOM;DECYZJA
Lathyrus japonicus;Lathyrus pannonicus;0.865;ten sam rodzaj;
Liparis loeselii;Liparis loeselli;0.938;ten sam rodzaj;
Lycopodium calvatum;Lycopodium clavatum;0.947;ten sam rodzaj;
Lycopus;Lypocopus;0.875;nazwa rodzajowa;
Lythrum hyssopifolia;Lythrum hysspifolia;0.974;ten sam rodzaj;
Matteuccia;Matteucia;0.947;nazwa rodzajowa;
Medicagi;Medicago;0.875;nazwa rodzajowa;
Melampyrum arvense;Melampyrum pratense;0.865;ten sam rodzaj;
Molinia caerulea;Molinia coerulea;0.938;ten sam rodzaj;
Myosotis alpestris;Myosotis palustris;0.889;ten sam rodzaj;
Odontines;Odontites;0.889;nazwa rodzajowa;
Oenanthe aqualica;Oenanthe aquatica;0.941;ten sam rodzaj;
Oenanthe lachenali;Oenanthe lachenalii;0.973;ten sam rodzaj;
Onobrychis viciaefolia;Onobrychis viciifolia;0.93;ten sam rodzaj;
Ornithogallum;Ornithogalum;0.96;nazwa rodzajowa;
Oxalis cornicu;Oxalis corniculata;0.875;ten sam rodzaj;
Oxalis dilleni;Oxalis dillenii;0.966;ten sam rodzaj;
Padus petrace;Padus petraea;0.923;ten sam rodzaj;
Papaver rheas;Papaver rhoeas;0.963;ten sam rodzaj;
Petrohagia;Petrorhagia;0.952;nazwa rodzajowa;
Pingiucula;Pinguicula;0.9;nazwa rodzajowa;
Pinus silvestris;Pinus sylvestris;0.938;ten sam rodzaj;
Pisum satium;Pisum sativum;0.96;ten sam rodzaj;
Plantago coronopus;Plantago coronpus;0.971;ten sam rodzaj;
Pleurospermum;Pleurosperum;0.96;nazwa rodzajowa;
Poa alpina;Poa aplina;0.9;ten sam rodzaj;
Poa supima;Poa supina;0.9;ten sam rodzaj;
Polistichum;Polystichum;0.909;nazwa rodzajowa;
Polygala amara;Polygala amarella;0.903;ten sam rodzaj;
Polygonatum;Polygonum;0.9;nazwa rodzajowa;
Polygonatum odoratum;Polygonatum ordoratum;0.976;ten sam rodzaj;
Polygonum lapathifolium subsp. lapathifolium;Polygonum lapathifolium subsp. pallidum;0.892;ten sam rodzaj;
Polystichum;Polytrichum;0.909;nazwa rodzajowa;
Potamogeton cripus;Potamogeton crispus;0.973;ten sam rodzaj;
Potamogeton cripus;Potamogeton rutilus;0.865;ten sam rodzaj;
Potamogeton natans;Potamogeton nitens;0.889;ten sam rodzaj;
Potamogeton pectinatus;Potamogeton pertoliatus;0.889;ten sam rodzaj;
Potamogeton perfoliatus;Potamogeton pertoliatus;0.957;ten sam rodzaj;
Potamogeton pusillus;Potamogeton rutilus;0.872;ten sam rodzaj;
Potentilla anglica;Potentilla ica;0.875;ten sam rodzaj;
Potentilla aurea;Potentilla recta;0.875;ten sam rodzaj;
Potentilla erecta;Potentilla recta;0.97;ten sam rodzaj;
Potentilla heptaphulla;Potentilla heptaphylla;0.955;ten sam rodzaj;
Potentilla ica;Potentilla recta;0.867;ten sam rodzaj;
Potentilla ilinata;Potentilla impolita;0.865;ten sam rodzaj;
Potentilla recta;Potentilla reptans;0.882;ten sam rodzaj;
Pteridium aquilinum;Pteridium aquillinum;0.974;ten sam rodzaj;
Ptilidium;Ptilium;0.875;nazwa rodzajowa;
Pulsatilla patens;Pulsatilla pratensis;0.919;ten sam rodzaj;
Pyrola chlorantha;Pyrola chloranytha;0.971;ten sam rodzaj;
Ranunculus repens;Ranunculus reptans;0.914;ten sam rodzaj;
Ranunculus repens;Ranunculus serpens;0.914;ten sam rodzaj;
Ranunculus scelaretus;Ranunculus sceleratus;0.905;ten sam rodzaj;
Reseda lutea;Reseda luteola;0.923;ten sam rodzaj;
Rhamnus cathartica;Rhamnus catharticus;0.919;ten sam rodzaj;
Ribes spicatum;Ribes spictatum;0.966;ten sam rodzaj;
Rosa micrantha;Rosa mocrantha;0.929;ten sam rodzaj;
Rubus idaeus;Rubus ideeus;0.917;ten sam rodzaj;
Rubus sprengelii;Rubus sprengelli;0.938;ten sam rodzaj;
Rumex acetosa;Rumex acetosella;0.897;ten sam rodzaj;
Rumex hydrolapathum;Rumex hydrolapathun;0.947;ten sam rodzaj;
Rumex sangiuneus;Rumex sanguineus;0.938;ten sam rodzaj;
Salvia pratensis;Salvia pretensis;0.938;ten sam rodzaj;
Sambucus ebulis;Sambucus ebulus;0.933;ten sam rodzaj;
Sarothamnus;Sarothamunus;0.957;nazwa rodzajowa;
Sassurea;Saussurea;0.941;nazwa rodzajowa;
Saxifraga aiziodes;Saxifraga aizoides;0.944;ten sam rodzaj;
Saxifraga granulata;Saxifraga paniculata;0.872;ten sam rodzaj;
Saxifraga oppositifolia;Saxifraga oppsitifolia;0.978;ten sam rodzaj;
Scabiosa ochroeuca;Scabiosa ochroleuca;0.973;ten sam rodzaj;
Scirpus silvaticus;Scirpus sylvaticus;0.944;ten sam rodzaj;
Scutellaria;Stellaria;0.9;nazwa rodzajowa;
Senecio aquaticus;Senecio aurantiacus;0.889;ten sam rodzaj;
Senecio aurantiacus;Senecio carpaticus;0.865;ten sam rodzaj;
Senecio rivularis;Senecio vulgaris;0.909;ten sam rodzaj;
Setaria verticillata;Setaria vertocillata;0.95;ten sam rodzaj;
Silene borysthenica;Silene botysthenica;0.947;ten sam rodzaj;
Sinapis;Sinapsis;0.933;nazwa rodzajowa;
Sparganium erectum;Sparganium neglectum;0.895;ten sam rodzaj;
Spirodela polyrhiza;Spirodela polyrrhiza;0.974;ten sam rodzaj;
Syntrichia ruraliformis;Syntrichia ruralis;0.878;ten sam rodzaj;
Thalictrum flaum;Thalictrum flavum;0.97;ten sam rodzaj;
Trifolium alpestre;Trifolium campestre;0.919;ten sam rodzaj;
Trifolium banium;Trifolium dubium;0.875;ten sam rodzaj;
Trifolium dubim;Trifolium dubium;0.968;ten sam rodzaj;
Trifolium dubium;Trifolium medium;0.875;ten sam rodzaj;
Trifolium patens;Trifolium pratense;0.941;ten sam rodzaj;
Trifolium patens;Trifolium repens;0.875;ten sam rodzaj;
Trifolium repens;Trifolium rubens;0.875;ten sam rodzaj;
Triglochin maritima;Triglochin maritimum;0.923;ten sam rodzaj;
Trisetum fascum;Trisetum fuscum;0.933;ten sam rodzaj;
Valeriana offcinalis;Valeriana officinalis;0.976;ten sam rodzaj;
Veratrum;Veratum;0.933;nazwa rodzajowa;
Veronica agrestis;Veronica arvensis;0.882;ten sam rodzaj;
Veronica baccabunga;Veronica beccabunga;0.947;ten sam rodzaj;
Veronica serpyllifolia;Veronica sperpyllifolia;0.978;ten sam rodzaj;
Vincetoxicum hirundianaria;Vincetoxicum hirundinaria;0.98;ten sam rodzaj;
Viola rechenbachiana;Viola reichenbachiana;0.976;ten sam rodzaj;
