KLUCZ;NAZWA_ZRODLOWA;ILE_SKLEJONYCH;DECYZJA
swertia perennis;Swertia perennis;2;
swertia perennis;Swertia perennis s.s.;2;
tanacetum corymbosum;Tanacetum corymbosum;2;
tanacetum corymbosum;Tanacetum corymbosum s.s.;2;
taraxacum officinale;Taraxacum officinale;2;
taraxacum officinale;Taraxacum officinale coll.;2;
taraxacum palustre;Taraxacum palustre;2;
taraxacum palustre;Taraxacum palustre agg.;2;
taxus media;Taxus x media;2;
taxus media;Taxus ×media;2;
tragopogon pratensis;Tragopogon pratensis;3;
tragopogon pratensis;Tragopogon pratensis agg.;3;
tragopogon pratensis;Tragopogon pratensis s.s.;3;
trapa natans;Trapa natans;2;
trapa natans;Trapa natans s.l.;2;
trifolium fragiferum;Trifolium fragiferum;2;
trifolium fragiferum;Trifolium fragiferum s.l.;2;
trifolium hybridum;Trifolium hybridum agg.;2;
trifolium hybridum;Trifolium hybridum s.l.;2;
trifolium repens;Trifolium repens;2;
trifolium repens;Trifolium repens s.l.;2;
valeriana tripteris;Valeriana tripteris;2;
valeriana tripteris;Valeriana tripteris s.l.;2;
veronica chamaedrys;Veronica chamaedrys;2;
veronica chamaedrys;Veronica chamaedrys s.str.;2;
veronica hederifolia;Veronica hederifolia;3;
veronica hederifolia;Veronica hederifolia agg.;3;
veronica hederifolia;Veronica hederifolia s.s.;3;
veronica spicata;Veronica spicata;2;
veronica spicata;Veronica spicata s.l.;2;
viola canina;Viola canina;3;
viola canina;Viola canina s.l.;3;
viola canina;Viola canina s.str.;3;
viola tricolor;Viola tricolor;3;
viola tricolor;Viola tricolor s.l.;3;
viola tricolor;Viola tricolor s.str.;3;
zannichellia palustris;Zannichellia palustris;2;
zannichellia palustris;Zannichellia palustris s.l.;2;
