GATUNEK;NAZWA_ZRODLOWA;RANGA;POWOD;GBIF_KEY;PROPOZYCJA;DECYZJA
Cnidium dubium;Cnidium dubium;SPECIES;brak w tabeli dopasowań;;;
Coeloglossum viride;Coeloglossum viride;SPECIES;brak w tabeli dopasowań;;;
Coeloglossum vride;Coeloglossum vride;SPECIES;dopasowanie ALTERNATYWA;5314467;;
Conringa orientalis;Conringa orientalis;SPECIES;dopasowanie ALTERNATYWA;3040913;;
Conringia orientalis;Conringia orientalis;SPECIES;dopasowanie ALTERNATYWA;3040913;;
Consolida regalis;Consolida regalis;SPECIES;brak w tabeli dopasowań;;;
Conyza canadensis;Conyza canadensis;SPECIES;brak w tabeli dopasowań;;;
Coronopus squamatus;Coronopus squamatus;SPECIES;brak w tabeli dopasowań;;;
Cotoneaster integrrimus;Cotoneaster integrrimus;SPECIES;dopasowanie ALTERNATYWA;3025576;;
Cotoneaster lucidus;Cotoneaster lucidus;SPECIES;brak w tabeli dopasowań;;;
Cotoneaster;Cotoneaster sp.;GENUS;brak w tabeli dopasowań;;;
Crataegus rhipidophyll;Crataegus rhipidophyll s.s.;SPECIES;dopasowanie ALTERNATYWA;9047268;;
Crataegus rhipidophylla;Crataegus rhipidophylla;SPECIES;dopasowanie ALTERNATYWA;9047268;;
Cuynoglossum officinale;Cuynoglossum officinale;SPECIES;dopasowanie ALTERNATYWA;2925815;;
Cynoglossum officinale;Cynoglossum officinale;SPECIES;dopasowanie ALTERNATYWA;2925815;;
Dactylis polygama;Dactylis polygama;SPECIES;brak w tabeli dopasowań;;;
Dactylorhiza fuchisii;Dactylorhiza fuchisii;SPECIES;dopasowanie ALTERNATYWA;2810689;;
Dactylorhiza traunsteineri subsp. traunsteineri;Dactylorhiza traunsteineri ssp. traunsteineri;SUBSPECIES;brak w tabeli dopasowań;;;
Dendranthema zawadzkii;Dendranthema zawadzkii;SPECIES;brak w tabeli dopasowań;;;
Dendranttthema zawadzkii;Dendranttthema zawadzkii;SPECIES;dopasowanie ALTERNATYWA;11063166;;
Dentaria bulbifera;Dentaria bulbifera;SPECIES;brak w tabeli dopasowań;;;
Dentaria eneeaphyllos;Dentaria eneeaphyllos;SPECIES;dopasowanie ALTERNATYWA;3046224;;
Dentaria enneaphyllos;Dentaria enneaphyllos;SPECIES;brak w tabeli dopasowań;;;
Dentaria glandulosa;Dentaria glandulosa;SPECIES;brak w tabeli dopasowań;;;
Deschampsia flexuosa;Deschampsia flexuosa;SPECIES;brak w tabeli dopasowań;;;
Dianthus cathusianorum;Dianthus cathusianorum;SPECIES;brak w tabeli dopasowań;;;
Dianthus plumarius subsp. praecox;Dianthus plumarius ssp. praecox;SUBSPECIES;brak w tabeli dopasowań;;;
Dianthus speciosus;Dianthus speciosus;SPECIES;brak w tabeli dopasowań;;;
Dianthus suoerbus;Dianthus suoerbus;SPECIES;brak w tabeli dopasowań;;;
Dianthus superbus subsp. superbus;Dianthus superbus ssp. superbus;SUBSPECIES;brak w tabeli dopasowań;;;
Digitaria;Digitaria;GENUS;dopasowanie RODZAJ_OK;2704525;;
Digitaria ischemum;Digitaria ischemum;SPECIES;brak w tabeli dopasowań;;;
Dorycnium germanicum;Dorycnium germanicum;SPECIES;brak w tabeli dopasowań;;;
Draba aizodes;Draba aizodes;SPECIES;dopasowanie ALTERNATYWA;3049799;;
Draba aizoides;Draba aizoides;SPECIES;dopasowanie ALTERNATYWA;3049799;;
Duchesnea ica;Duchesnea indica;SPECIES;brak w tabeli dopasowań;;;
Echinocyslis lobata;Echinocyslis lobata;SPECIES;dopasowanie ALTERNATYWA;5331404;;
Echium russicucum;Echium russicucum;SPECIES;dopasowanie ALTERNATYWA;4067889;;
Echium russicum;Echium russicum;SPECIES;dopasowanie ALTERNATYWA;4067889;;
Elodea canadensis;Elodea canadensis;SPECIES;dopasowanie ALTERNATYWA;2865448;;
Elymus farctus subsp. boreali-atlanticus;Elymus farctus ssp. boreali-atlanticus;SUBSPECIES;brak w tabeli dopasowań;;;
Elymus hispidus;Elymus hispidus;SPECIES;brak w tabeli dopasowań;;;
Epilobium angustifolium;Epilobium angustifolium;SPECIES;brak w tabeli dopasowań;;;
Epilobium ciliatum subsp. ciliatum;Epilobium ciliatum ssp. ciliatum;SUBSPECIES;brak w tabeli dopasowań;;;
Epilobium dodonaei;Epilobium dodonaei;SPECIES;brak w tabeli dopasowań;;;
Epilobium palustre;Epilobium palustre;SPECIES;dopasowanie ALTERNATYWA;3189080;;
Erigeron;Erigeron;GENUS;dopasowanie RODZAJ_OK;3146588;;
Erigeron ramosus;Erigeron ramosus;SPECIES;brak w tabeli dopasowań;;;
Erigeron strigosus;Erigeron strigosus;SPECIES;dopasowanie ALTERNATYWA;3146632;;
Eriophorum cicutarium;Eriophorum cicutarium;SPECIES;dopasowanie HIGHERRANK;2730118;;
Erophila verna;Erophila verna;SPECIES;dopasowanie ALTERNATYWA;8198872;;
Eruysimum cheiranthoides;Eruysimum cheiranthoides;SPECIES;dopasowanie ALTERNATYWA;3048266;;
Eruysimum hieracifolium;Eruysimum hieracifolium;SPECIES;dopasowanie ALTERNATYWA;3048678;;
Eruysimum odoratum;Eruysimum odoratum;SPECIES;dopasowanie ALTERNATYWA;3048357;;
Eruysimum pieninicum;Eruysimum pieninicum;SPECIES;dopasowanie ALTERNATYWA;3048474;;
Eruysimum wittmannii;Eruysimum wittmannii;SPECIES;dopasowanie ALTERNATYWA;3048470;;
Erysimum cheiranthoides;Erysimum cheiranthoides;SPECIES;dopasowanie ALTERNATYWA;3048266;;
Erysimum odoratum;Erysimum odoratum;SPECIES;dopasowanie ALTERNATYWA;3048357;;
Erysimum wittmannii;Erysimum wittmannii;SPECIES;brak w tabeli dopasowań;;;
Euonymous;Euonymous;GENUS;brak w tabeli dopasowań;;;
Euonymous europaea;Euonymous europaea;SPECIES;brak w tabeli dopasowań;;;
Euonymous verrucosa;Euonymous verrucosa;SPECIES;brak w tabeli dopasowań;;;
Euonymus europaeus;Euonymus europaeus;SPECIES;dopasowanie ALTERNATYWA;3169131;;
Euonymus verrucosus;Euonymus verrucosus;SPECIES;dopasowanie ALTERNATYWA;7723078;;
Eupatorium cannabium;Eupatorium cannabium;SPECIES;dopasowanie ALTERNATYWA;5402943;;
Euphorbia luicida;Euphorbia luicida;SPECIES;dopasowanie ALTERNATYWA;3069370;;
Euphorbia serrulata;Euphorbia serrulata;SPECIES;brak w tabeli dopasowań;;;
Euphorbia villosa;Euphorbia villosa;SPECIES;dopasowanie ALTERNATYWA;3066112;;
Euphrasia coerulea;Euphrasia coerulea;SPECIES;dopasowanie ALTERNATYWA;9042014;;
Euphrasia rostkoviana;Euphrasia rostkoviana;SPECIES;brak w tabeli dopasowań;;;
Fagus sylatica;Fagus sylatica;SPECIES;dopasowanie ALTERNATYWA;2882316;;
Fagus sylvatica;Fagus sylvatica;SPECIES;dopasowanie ALTERNATYWA;2882316;;
Fallopia cpnvolvulus;Fallopia cpnvolvulus;SPECIES;dopasowanie ALTERNATYWA;6391461;;
Festuca airodes;Festuca airodes;SPECIES;dopasowanie ALTERNATYWA;2704920;;
Festuca airoides;Festuca airoides;SPECIES;dopasowanie ALTERNATYWA;2704920;;
Festuca arundinacea;Festuca arundinacea;SPECIES;brak w tabeli dopasowań;;;
Festuca drymeia;Festuca drymeia;SPECIES;brak w tabeli dopasowań;;;
Festuca gigantea;Festuca gigantea;SPECIES;brak w tabeli dopasowań;;;
Festuca picta;Festuca picta;SPECIES;brak w tabeli dopasowań;;;
Festuca polesica;Festuca polesica;SPECIES;brak w tabeli dopasowań;;;
Festuca pratensis;Festuca pratensis;SPECIES;brak w tabeli dopasowań;;;
Festuca rubra;Festuca rubra;SPECIES;dopasowanie ALTERNATYWA;2704922;;
Festuca tenuifolia;Festuca tenuifolia;SPECIES;brak w tabeli dopasowań;;;
Festuca valesica;Festuca valesica;SPECIES;dopasowanie ALTERNATYWA;2704966;;
Festuca villosa;Festuca villosa;SPECIES;brak w tabeli dopasowań;;;
Filago avensis;Filago avensis;SPECIES;dopasowanie ALTERNATYWA;3115875;;
Filago minima;Filago minima;SPECIES;brak w tabeli dopasowań;;;
Filago vulgaris;Filago vulgaris;SPECIES;brak w tabeli dopasowań;;;
Flavocetraria cucullata;Flavocetraria cucullata;SPECIES;brak w tabeli dopasowań;;;
Flavocetraria nivalis;Flavocetraria nivalis;SPECIES;brak w tabeli dopasowań;;;
Fraxinus meleagris;Fraxinus meleagris;SPECIES;dopasowanie HIGHERRANK;3172323;;
Fumaria officinalis subsp. officinalis;Fumaria officinalis ssp. officinalis;SUBSPECIES;brak w tabeli dopasowań;;;
Gagea pretensis;Gagea pretensis;SPECIES;dopasowanie ALTERNATYWA;5300102;;
Galeobdolon luteum;Galeobdolon luteum;SPECIES;brak w tabeli dopasowań;;;
Galinsoga ciliata;Galinsoga ciliata;SPECIES;brak w tabeli dopasowań;;;
Galium;Galium;GENUS;dopasowanie RODZAJ_OK;2913027;;
Galium schultesii;Galium schultesii;SPECIES;brak w tabeli dopasowań;;;
Gentiana figida;Gentiana figida;SPECIES;dopasowanie ALTERNATYWA;3170111;;
Gentianella ciliata;Gentianella ciliata;SPECIES;brak w tabeli dopasowań;;;
Gladiolus imbricatum;Gladiolus imbricatum;SPECIES;dopasowanie ALTERNATYWA;2749827;;
Gladiolus imbricatus;Gladiolus imbricatus;SPECIES;dopasowanie ALTERNATYWA;2749827;;
Gladiolus paluster;Gladiolus paluster;SPECIES;dopasowanie ALTERNATYWA;2750279;;
Glyceria plicata;Glyceria plicata;SPECIES;brak w tabeli dopasowań;;;
Gnaphalium hoppeanum;Gnaphalium hoppeanum;SPECIES;brak w tabeli dopasowań;;;
Gnaphalium luteo-album;Gnaphalium luteo-album;SPECIES;brak w tabeli dopasowań;;;
Gnaphalium supinum;Gnaphalium supinum;SPECIES;brak w tabeli dopasowań;;;
Gratiola offcinalis;Gratiola offcinalis;SPECIES;dopasowanie ALTERNATYWA;3171915;;
Gratiola officinalis;Gratiola officinalis;SPECIES;dopasowanie ALTERNATYWA;3171915;;
Gypsophila muralis;Gypsophila muralis;SPECIES;brak w tabeli dopasowań;;;
Haracleum mantegazzianum;Haracleum mantegazzianum;SPECIES;dopasowanie ALTERNATYWA;3034825;;
Haracleum sphondylium;Haracleum sphondylium s.l.;SPECIES;dopasowanie ALTERNATYWA;3034830;;
Helianthemum alpestre subsp. rupifragum;Helianthemum alpestre ssp. rupifragum;SUBSPECIES;brak w tabeli dopasowań;;;
Helianthemum nummularium subsp. grandiflorum;Helianthemum nummularium ssp. grandiflorum;SUBSPECIES;brak w tabeli dopasowań;;;
Helianthemum nummularium subsp. nummularium;Helianthemum nummularium ssp. nummularium;SUBSPECIES;brak w tabeli dopasowań;;;
Helianthemum nummularium subsp. obscurum;Helianthemum nummularium ssp. obscurum;SUBSPECIES;brak w tabeli dopasowań;;;
Heliosperma quadridentatum;Heliosperma quadridentatum;SPECIES;brak w tabeli dopasowań;;;
Heracleum sphondylium;Heracleum sphondylium;SPECIES;dopasowanie ALTERNATYWA;3034830;;
Heracleum sphondylium subsp. glabrum;Heracleum sphondylium ssp. glabrum;SUBSPECIES;brak w tabeli dopasowań;;;
Heracleum sphondylium subsp. sphondylium;Heracleum sphondylium ssp. sphondylium;SUBSPECIES;brak w tabeli dopasowań;;;
Hieracium bracchiatum;Hieracium bracchiatum;SPECIES;dopasowanie ALTERNATYWA;8037844;;
Hieracium cymusum;Hieracium cymusum;SPECIES;dopasowanie ALTERNATYWA;9007908;;
Hieracium fuscicinareum;Hieracium fuscicinareum;SPECIES;dopasowanie ALTERNATYWA;3136533;;
Hieracium;Hieracium s.l.;GENUS;dopasowanie HIGHERRANK;3134951;;
Hieracium silesiacum;Hieracium silesiacum;SPECIES;brak w tabeli dopasowań;;;
Hieracium transsilvanicum;Hieracium transsilvanicum;SPECIES;brak w tabeli dopasowań;;;
Hieracium umbellatum var. dunense;Hieracium umbellatum var. dunense;VARIETY;brak w tabeli dopasowań;;;
Hiercium;Hiercium;GENUS;brak w tabeli dopasowań;;;
Hiercium lachenalii;Hiercium lachenalii;SPECIES;brak w tabeli dopasowań;;;
Hiercium pilosella;Hiercium pilosella;SPECIES;brak w tabeli dopasowań;;;
Hierochloe australis;Hierochloe australis;SPECIES;brak w tabeli dopasowań;;;
Hierochloe odorata;Hierochloe odorata;SPECIES;brak w tabeli dopasowań;;;
Holisperma quadridentatum;Holisperma quadridentatum;SPECIES;dopasowanie ALTERNATYWA;8027596;;
Holosteum umbrelatum;Holosteum umbrelatum;SPECIES;dopasowanie ALTERNATYWA;3085349;;
Homulus lupulus;Homulus lupulus;SPECIES;dopasowanie ALTERNATYWA;2984535;;
Humulus lupulus;Humulus lupulus;SPECIES;dopasowanie ALTERNATYWA;2984535;;
Hutchinsia alpina;Hutchinsia alpina;SPECIES;brak w tabeli dopasowań;;;
Hyoscyamnus niger;Hyoscyamnus niger;SPECIES;dopasowanie ALTERNATYWA;2928978;;
Hyoscyamus niger;Hyoscyamus niger;SPECIES;dopasowanie ALTERNATYWA;2928978;;
Hypericum;Hypericum;GENUS;dopasowanie RODZAJ_OK;3189452;;
Hypericum terapterum;Hypericum terapterum;SPECIES;dopasowanie ALTERNATYWA;11942892;;
Hypochaeris uniflora;Hypochaeris uniflora;SPECIES;brak w tabeli dopasowań;;;
Hypochoeris macalata;Hypochoeris macalata;SPECIES;dopasowanie ALTERNATYWA;7883344;;
Hypochoeris uniflora;Hypochoeris uniflora;SPECIES;dopasowanie ALTERNATYWA;7883344;;
Iiiecebrum verticillatum;IIIecebrum verticillatum;SPECIES;dopasowanie HIGHERRANK;6;;
Inula conyza;Inula conyza;SPECIES;brak w tabeli dopasowań;;;
Inula ensifolia;Inula ensifolia;SPECIES;brak w tabeli dopasowań;;;
Inula ermanica;Inula ermanica;SPECIES;dopasowanie ALTERNATYWA;9904952;;
Inula hirta;Inula hirta;SPECIES;brak w tabeli dopasowań;;;
Jovibarba sobolifera;Jovibarba sobolifera;SPECIES;brak w tabeli dopasowań;;;
Juncus alpino-articulatus;Juncus alpino-articulatus;SPECIES;dopasowanie ALTERNATYWA;2701930;;
Juncus alpinoarticulatus;Juncus alpinoarticulatus;SPECIES;dopasowanie ALTERNATYWA;2701930;;
Juncus gerardin;Juncus gerardin;SPECIES;dopasowanie ALTERNATYWA;6413621;;
Juncus trifidus;Juncus trifidus;SPECIES;brak w tabeli dopasowań;;;
Juniperus communis subsp. alpina;Juniperus communis ssp. alpina;SUBSPECIES;brak w tabeli dopasowań;;;
Kiaeria falcata;Kiaeria falcata;SPECIES;brak w tabeli dopasowań;;;
Kiaeria starkei;Kiaeria starkei;SPECIES;brak w tabeli dopasowań;;;
Kochia laniflora;Kochia laniflora;SPECIES;brak w tabeli dopasowań;;;
Koeleria;Koeleria;GENUS;dopasowanie RODZAJ_OK;2705912;;
Lactuca seriola;Lactuca seriola;SPECIES;dopasowanie ALTERNATYWA;3140490;;
Lactuca serriola;Lactuca serriola;SPECIES;dopasowanie ALTERNATYWA;3140490;;
Lamium purpurea;Lamium purpurea;SPECIES;brak w tabeli dopasowań;;;
Lamium squarrosa;Lamium squarrosa;SPECIES;dopasowanie ALTERNATYWA;3798235;;
Larix europaea;Larix europaea;SPECIES;brak w tabeli dopasowań;;;
Larix kaemfderi;Larix kaemfderi;SPECIES;brak w tabeli dopasowań;;;
Laserpitium archangelica;Laserpitium archangelica;SPECIES;dopasowanie ALTERNATYWA;9568743;;
Laserpitium prutenicum;Laserpitium prutenicum;SPECIES;brak w tabeli dopasowań;;;
Lathyrus japonicus subsp. maritimus;Lathyrus japonicus ssp. maritimus;SUBSPECIES;brak w tabeli dopasowań;;;
Lathyrus maritimus;Lathyrus maritimus;SPECIES;dopasowanie ALTERNATYWA;8167025;;
Lathyrus montanus;Lathyrus montanus;SPECIES;brak w tabeli dopasowań;;;
Lavatera thuringiaca;Lavatera thuringiaca;SPECIES;brak w tabeli dopasowań;;;
Ledum palustre;Ledum palustre;SPECIES;brak w tabeli dopasowań;;;
Leiomylia anomala;Leiomylia anomala;SPECIES;brak w tabeli dopasowań;;;
Lemna;Lemna;GENUS;brak w tabeli dopasowań;;;
Leontopodium alpinum;Leontopodium alpinum;SPECIES;dopasowanie ALTERNATYWA;3115828;;
Leucanthemopsis alpina subsp. tatrae;Leucanthemopsis alpina ssp. tatrae;SUBSPECIES;brak w tabeli dopasowań;;;
Leucanthemum waldsteinii;Leucanthemum waldsteinii;SPECIES;brak w tabeli dopasowań;;;
Leucoium vernum;Leucoium vernum;SPECIES;dopasowanie ALTERNATYWA;2860409;;
Libanotis pyrenaica;Libanotis pyrenaica;SPECIES;brak w tabeli dopasowań;;;
Limprichtia cossonii;Limprichtia cossonii;SPECIES;brak w tabeli dopasowań;;;
Limprichtia revolvens;Limprichtia revolvens;SPECIES;brak w tabeli dopasowań;;;
Linosyris vulgaris;Linosyris vulgaris;SPECIES;brak w tabeli dopasowań;;;
Linum extraaxillare;Linum extraaxillare;SPECIES;brak w tabeli dopasowań;;;
Liparis loeselli;Liparis loeselli;SPECIES;dopasowanie ALTERNATYWA;11712270;;
Lipinus polyphyllus;Lipinus polyphyllus;SPECIES;dopasowanie ALTERNATYWA;2964355;;
Listera cordata;Listera cordata;SPECIES;brak w tabeli dopasowań;;;
Listera ovata;Listera ovata;SPECIES;brak w tabeli dopasowań;;;
Lithospermum arvense;Lithospermum arvense;SPECIES;brak w tabeli dopasowań;;;
Lithospermum purpurocaeruleum;Lithospermum purpurocaeruleum;SPECIES;brak w tabeli dopasowań;;;
Lotus uliginosus;Lotus uliginosus;SPECIES;brak w tabeli dopasowań;;;
Luchnis flos-cuculi;Luchnis flos-cuculi;SPECIES;dopasowanie ALTERNATYWA;5384738;;
Luzula alpino-pilosa;Luzula alpino-pilosa;SPECIES;brak w tabeli dopasowań;;;
Lychnis flos-cuculi;Lychnis flos-cuculi;SPECIES;brak w tabeli dopasowań;;;
Lycopodium annotinum;Lycopodium annotinum;SPECIES;brak w tabeli dopasowań;;;
Lycopodium calvatum;Lycopodium calvatum;SPECIES;dopasowanie ALTERNATYWA;2688393;;
Lycopodium clavatum;Lycopodium clavatum;SPECIES;dopasowanie ALTERNATYWA;2688393;;
Lypocopus europaeus;Lypocopus europaeus;SPECIES;dopasowanie ALTERNATYWA;5341478;;
Lythrum hysspifolia;Lythrum hysspifolia;SPECIES;dopasowanie ALTERNATYWA;3188747;;
Malva ciripsa;Malva ciripsa;SPECIES;dopasowanie ALTERNATYWA;7428145;;
Malva thuringiaca;Malva thuringiaca;SPECIES;dopasowanie ALTERNATYWA;7428145;;
Marchantia polymorpha subsp. montivagans;Marchantia polymorpha ssp. montivagans;SUBSPECIES;brak w tabeli dopasowań;;;
Marchantia polymorpha subsp. ruderalis;Marchantia polymorpha ssp. ruderalis;SUBSPECIES;brak w tabeli dopasowań;;;
Matricaria inodora;Matricaria inodora;SPECIES;dopasowanie ALTERNATYWA;3104179;;
Matricaria maritima subsp. maritima;Matricaria maritima ssp. maritima;SUBSPECIES;brak w tabeli dopasowań;;;
Matricaria perforata;Matricaria perforata;SPECIES;brak w tabeli dopasowań;;;
Matteucia struthiopteris;Matteucia struthiopteris;SPECIES;dopasowanie ALTERNATYWA;2650999;;
Medicagi;Medicagi;GENUS;brak w tabeli dopasowań;;;
Medicago;Medicago;GENUS;dopasowanie RODZAJ_OK;2965200;;
Melandrium album;Melandrium album;SPECIES;brak w tabeli dopasowań;;;
Melandrium noctiflorum;Melandrium noctiflorum;SPECIES;brak w tabeli dopasowań;;;
Melandrium rubrum;Melandrium rubrum;SPECIES;brak w tabeli dopasowań;;;
Melilotus altissima;Melilotus altissima;SPECIES;brak w tabeli dopasowań;;;
Melilotus dentata;Melilotus dentata;SPECIES;dopasowanie ALTERNATYWA;8349589;;
Melilotus wolgica;Melilotus wolgica;SPECIES;dopasowanie ALTERNATYWA;2971068;;
Mimulus guttatus;Mimulus guttatus;SPECIES;brak w tabeli dopasowań;;;
Minuartia kitaibelli;Minuartia kitaibelli;SPECIES;dopasowanie ALTERNATYWA;9316432;;
Minuartia sedoides;Minuartia sedoides;SPECIES;brak w tabeli dopasowań;;;
Minuartia verna;Minuartia verna;SPECIES;brak w tabeli dopasowań;;;
Moerckia blyttii;Moerckia blyttii;SPECIES;brak w tabeli dopasowań;;;
Monotropa hypopitys;Monotropa hypopitys;SPECIES;brak w tabeli dopasowań;;;
Mutelinia purpurea;Mutelinia purpurea;SPECIES;dopasowanie ALTERNATYWA;7318319;;
Myosotis menorosa;Myosotis menorosa;SPECIES;dopasowanie ALTERNATYWA;7295175;;
Myosotis palustris;Myosotis palustris;SPECIES;brak w tabeli dopasowań;;;
Myosoton aquaticum;Myosoton aquaticum;SPECIES;brak w tabeli dopasowań;;;
Neottiante cucullata;Neottiante cucullata;SPECIES;dopasowanie ALTERNATYWA;12222157;;
Nymphaea peltata;Nymphaea peltata;SPECIES;dopasowanie ALTERNATYWA;9927008;;
Odontines litoralis;Odontines litoralis;SPECIES;dopasowanie ALTERNATYWA;7911410;;
Odontines lutea;Odontines lutea;SPECIES;dopasowanie ALTERNATYWA;7855120;;
Odontines serotina;Odontines serotina;SPECIES;dopasowanie ALTERNATYWA;8275471;;
Odontines verna;Odontines verna;SPECIES;dopasowanie ALTERNATYWA;8971475;;
Odontites litoralis;Odontites litoralis;SPECIES;dopasowanie ALTERNATYWA;7911410;;
Odontites verna;Odontites verna;SPECIES;brak w tabeli dopasowań;;;
Oenanthe aqualica;Oenanthe aqualica;SPECIES;dopasowanie ALTERNATYWA;5371888;;
Oenanthe aquatica;Oenanthe aquatica;SPECIES;dopasowanie ALTERNATYWA;5371888;;
Oenanthe lachenali;Oenanthe lachenali;SPECIES;dopasowanie ALTERNATYWA;5540332;;
Oenanthe lachenalii;Oenanthe lachenalii;SPECIES;dopasowanie ALTERNATYWA;5540332;;
Oenothera scorpioides;Oenothera scorpioides;SPECIES;dopasowanie HIGHERRANK;3188799;;
Onobrychis viciaefolia;Onobrychis viciaefolia;SPECIES;brak w tabeli dopasowań;;;
Ononis avensis;Ononis avensis;SPECIES;dopasowanie ALTERNATYWA;2977171;;
Ononis spinosa subsp. procurrens;Ononis spinosa ssp. procurrens;SUBSPECIES;brak w tabeli dopasowań;;;
Onopordon acanthium;Onopordon acanthium;SPECIES;brak w tabeli dopasowań;;;
Ophrys issectifera;Ophrys issectifera;SPECIES;dopasowanie ALTERNATYWA;11777085;;
Orchis palustris;Orchis palustris;SPECIES;brak w tabeli dopasowań;;;
Ornithogallum umbellatum;Ornithogallum umbellatum;SPECIES;brak w tabeli dopasowań;;;
Ornithogalum umbellatum;Ornithogalum umbellatum;SPECIES;dopasowanie ALTERNATYWA;2773448;;
Orobanche arenaria;Orobanche arenaria;SPECIES;dopasowanie ALTERNATYWA;3729246;;
Orobanche purpurea;Orobanche purpurea;SPECIES;dopasowanie ALTERNATYWA;8026978;;
Orthantha lutea;Orthantha lutea;SPECIES;brak w tabeli dopasowań;;;
Oxalis cornicu;Oxalis cornicu;SPECIES;dopasowanie HIGHERRANK;2891642;;
Oxalis dilleni;Oxalis dilleni;SPECIES;brak w tabeli dopasowań;;;
Oxalis dillenii;Oxalis dillenii;SPECIES;dopasowanie ALTERNATYWA;2891677;;
Oxalis fontana;Oxalis fontana;SPECIES;brak w tabeli dopasowań;;;
Oxycoccus microcarpus;Oxycoccus microcarpus;SPECIES;brak w tabeli dopasowań;;;
Oxycoccus palustris;Oxycoccus palustris;SPECIES;brak w tabeli dopasowań;;;
Pachypleurum simplex;Pachypleurum simplex;SPECIES;brak w tabeli dopasowań;;;
Padus avium;Padus avium;SPECIES;brak w tabeli dopasowań;;;
Padus petrace;Padus petrace;SPECIES;dopasowanie ALTERNATYWA;12024175;;
Padus petraea;Padus petraea;SPECIES;brak w tabeli dopasowań;;;
Padus serotina;Padus serotina;SPECIES;brak w tabeli dopasowań;;;
Palustriella commutata var. falcata;Palustriella commutata var. falcata;VARIETY;brak w tabeli dopasowań;;;
Papaver;Papaver;GENUS;dopasowanie RODZAJ_OK;2888431;;
Papaver argemone;Papaver argemone;SPECIES;brak w tabeli dopasowań;;;
Papaver rheas;Papaver rheas;SPECIES;brak w tabeli dopasowań;;;
Peplis portula;Peplis portula;SPECIES;brak w tabeli dopasowań;;;
Petrohagia prolifera;Petrohagia prolifera;SPECIES;dopasowanie ALTERNATYWA;3085619;;
Petrohagia saxifraga;Petrohagia saxifraga;SPECIES;dopasowanie ALTERNATYWA;3085623;;
Petrorhagia prolifera;Petrorhagia prolifera;SPECIES;dopasowanie ALTERNATYWA;3085619;;
Peucedanum alsaticum;Peucedanum alsaticum;SPECIES;dopasowanie ALTERNATYWA;7224204;;
Peucedanum cervaria;Peucedanum cervaria;SPECIES;brak w tabeli dopasowań;;;
Peucedanum oreoselinum;Peucedanum oreoselinum;SPECIES;brak w tabeli dopasowań;;;
Peucedanum ostruthim;Peucedanum ostruthim;SPECIES;dopasowanie ALTERNATYWA;5538108;;
Peucedanum palustre;Peucedanum palustre;SPECIES;brak w tabeli dopasowań;;;
Phleum commutatum;Phleum commutatum;SPECIES;dopasowanie ALTERNATYWA;8952395;;
Phleum hubbardi;Phleum hubbardi;SPECIES;brak w tabeli dopasowań;;;
Phyllitis solopendrium;Phyllitis solopendrium;SPECIES;dopasowanie ALTERNATYWA;7310677;;
Physalis alkekengi;Physalis alkekengi;SPECIES;dopasowanie ALTERNATYWA;5341775;;
Pingiucula alpina;Pingiucula alpina;SPECIES;dopasowanie ALTERNATYWA;5667864;;
Pingiucula vulgaris;Pingiucula vulgaris s.l.;SPECIES;dopasowanie ALTERNATYWA;5415065;;
Pinguicula vulgaris subsp. vulgaris;Pinguicula vulgaris ssp. vulgaris;SUBSPECIES;brak w tabeli dopasowań;;;
Pinus rotundata;Pinus rotundata;SPECIES;brak w tabeli dopasowań;;;
Pinus silvestris;Pinus silvestris;SPECIES;brak w tabeli dopasowań;;;
Pinus sylvestris;Pinus sylvestris;SPECIES;dopasowanie ALTERNATYWA;5285637;;
Pisum satium;Pisum satium;SPECIES;dopasowanie ALTERNATYWA;5347846;;
Pisum sativum;Pisum sativum;SPECIES;brak w tabeli dopasowań;;;
Plantago atrata subsp. carpatica;Plantago atrata ssp. carpatica;SUBSPECIES;brak w tabeli dopasowań;;;
Plantago coronpus;Plantago coronpus;SPECIES;dopasowanie ALTERNATYWA;3189739;;
Pleurosperum austriacum;Pleurosperum austriacum;SPECIES;dopasowanie ALTERNATYWA;3632864;;
Poa aplina;Poa aplina;SPECIES;dopasowanie ALTERNATYWA;2704234;;
Poa supima;Poa supima;SPECIES;dopasowanie ALTERNATYWA;2704322;;
Poa supina;Poa supina;SPECIES;dopasowanie ALTERNATYWA;2704322;;
Polistichum aculeatum;Polistichum aculeatum;SPECIES;dopasowanie ALTERNATYWA;7319269;;
Polistichum brauni;Polistichum brauni;SPECIES;dopasowanie ALTERNATYWA;2651092;;
Polistichum lonchitis;Polistichum lonchitis;SPECIES;dopasowanie ALTERNATYWA;2651113;;
Polygala amara subsp. brachyptera;Polygala amara ssp. brachyptera;SUBSPECIES;brak w tabeli dopasowań;;;
Polygala oxyptera;Polygala oxyptera;SPECIES;brak w tabeli dopasowań;;;
Polygonatum ordoratum;Polygonatum ordoratum;SPECIES;dopasowanie ALTERNATYWA;2770228;;
Polygonum;Polygonum;GENUS;dopasowanie RODZAJ_OK;2889077;;
Polygonum amphibium;Polygonum amphibium;SPECIES;brak w tabeli dopasowań;;;
Polygonum convolvulus;Polygonum convolvulus;SPECIES;brak w tabeli dopasowań;;;
Polygonum hydropiper;Polygonum hydropiper;SPECIES;brak w tabeli dopasowań;;;
