GATUNEK;NAZWA_ZRODLOWA;RANGA;POWOD;GBIF_KEY;PROPOZYCJA;DECYZJA
Stellaria uliginosa;Stellaria uliginosa;SPECIES;brak w tabeli dopasowań;;;
Stipa pennata subsp. pennata;Stipa pennata ssp. pennata;SUBSPECIES;brak w tabeli dopasowań;;;
Syntrichia ruraliformis;Syntrichia ruraliformis;SPECIES;brak w tabeli dopasowań;;;
Tanacetum;Tanacetum;GENUS;dopasowanie RODZAJ_OK;3118160;;
Tanacetum alpinum;Tanacetum alpinum;SPECIES;dopasowanie ALTERNATYWA;7066268;;
Taraxacum laevigatum;Taraxacum laevigatum;SPECIES;brak w tabeli dopasowań;;;
Teesdalea nudicaulis;Teesdalea nudicaulis;SPECIES;brak w tabeli dopasowań;;;
Tetragonolobus maritimus;Tetragonolobus maritimus;SPECIES;brak w tabeli dopasowań;;;
Thalictrum flaum;Thalictrum flaum;SPECIES;dopasowanie ALTERNATYWA;7953007;;
Thalictrum minus subsp. minus;Thalictrum minus ssp. minus;SUBSPECIES;brak w tabeli dopasowań;;;
Thlaspi perfoliatum;Thlaspi perfoliatum;SPECIES;brak w tabeli dopasowań;;;
Thymus austriacus;Thymus austriacus;SPECIES;brak w tabeli dopasowań;;;
Thymus carpaticus;Thymus carpaticus;SPECIES;dopasowanie ALTERNATYWA;7306766;;
Thymus glabrescens;Thymus glabrescens;SPECIES;brak w tabeli dopasowań;;;
Thymus pulcherrimus;Thymus pulcherrimus;SPECIES;dopasowanie ALTERNATYWA;7306766;;
Thypra angustifolia;Thypra angustifolia;SPECIES;dopasowanie ALTERNATYWA;5289461;;
Thypra latifolia;Thypra latifolia;SPECIES;dopasowanie ALTERNATYWA;5289423;;
Tozzia carpatica;Tozzia carpatica;SPECIES;dopasowanie ALTERNATYWA;7657198;;
Trientalis europaea;Trientalis europaea;SPECIES;brak w tabeli dopasowań;;;
Trifolium banium;Trifolium banium;SPECIES;dopasowanie ALTERNATYWA;5359018;;
Trifolium dubim;Trifolium dubim;SPECIES;dopasowanie ALTERNATYWA;5359429;;
Trifolium dubium;Trifolium dubium;SPECIES;dopasowanie ALTERNATYWA;5359429;;
Triglochin maritimum;Triglochin maritimum;SPECIES;dopasowanie ALTERNATYWA;2865368;;
Triglochin palustre;Triglochin palustre;SPECIES;brak w tabeli dopasowań;;;
Tripleurospermum onodorum;Tripleurospermum onodorum;SPECIES;brak w tabeli dopasowań;;;
Trisetum fascum;Trisetum fascum;SPECIES;dopasowanie ALTERNATYWA;4112815;;
Trisetum fuscum;Trisetum fuscum;SPECIES;dopasowanie ALTERNATYWA;4112815;;
Trollius altissimus;Trollius altissimus;SPECIES;brak w tabeli dopasowań;;;
Typha angustifolia;Typha angustifolia;SPECIES;dopasowanie ALTERNATYWA;5289461;;
Typha latifolia;Typha latifolia;SPECIES;dopasowanie ALTERNATYWA;5289423;;
Valeriana angustifolia;Valeriana angustifolia;SPECIES;brak w tabeli dopasowań;;;
Valeriana excelsa subsp. sambucifolia;Valeriana excelsa ssp. sambucifolia;SUBSPECIES;brak w tabeli dopasowań;;;
Valeriana offcinalis;Valeriana offcinalis;SPECIES;dopasowanie ALTERNATYWA;2888763;;
Valeriana officinalis;Valeriana officinalis;SPECIES;dopasowanie ALTERNATYWA;2888763;;
Valeriana simplicifolia;Valeriana simplicifolia;SPECIES;brak w tabeli dopasowań;;;
Veratum album;Veratum album;SPECIES;dopasowanie ALTERNATYWA;2742119;;
Veratum lobelianum;Veratum lobelianum;SPECIES;dopasowanie ALTERNATYWA;2742050;;
Veratum nigrum;Veratum nigrum;SPECIES;dopasowanie ALTERNATYWA;2742096;;
Verbascum chaixii subsp. austriacum;Verbascum chaixii ssp. austriacum;SUBSPECIES;brak w tabeli dopasowań;;;
Veronica baccabunga;Veronica baccabunga;SPECIES;dopasowanie ALTERNATYWA;3172062;;
Veronica beccabunga;Veronica beccabunga;SPECIES;dopasowanie ALTERNATYWA;3172062;;
Veronica paniculata;Veronica paniculata s.l.;SPECIES;dopasowanie ALTERNATYWA;6711373;;
Veronica sperpyllifolia;Veronica sperpyllifolia;SPECIES;dopasowanie ALTERNATYWA;3172082;;
Vicia angustifolia;Vicia angustifolia;SPECIES;brak w tabeli dopasowań;;;
Vicia dasycapra;Vicia dasycapra;SPECIES;dopasowanie HIGHERRANK;2974751;;
Vicia lathyroides;Vicia lathyroides;SPECIES;dopasowanie ALTERNATYWA;2975076;;
Vicia sativa subsp. sativa;Vicia sativa ssp. sativa;SUBSPECIES;brak w tabeli dopasowań;;;
Vincetoxicum hirundianaria;Vincetoxicum hirundianaria;SPECIES;dopasowanie ALTERNATYWA;5414548;;
Vincetoxicum hirundinaria;Vincetoxicum hirundinaria;SPECIES;dopasowanie ALTERNATYWA;5414548;;
Viola lutea subsp. sudetica;Viola lutea ssp. sudetica;SUBSPECIES;brak w tabeli dopasowań;;;
Viola rechenbachiana;Viola rechenbachiana;SPECIES;brak w tabeli dopasowań;;;
Viola reichenbachiana;Viola reichenbachiana;SPECIES;dopasowanie ALTERNATYWA;5663962;;
Viscum album subsp. austriacum;Viscum album ssp. austriacum;SUBSPECIES;brak w tabeli dopasowań;;;
Vulpia bromoides;Vulpia bromoides;SPECIES;brak w tabeli dopasowań;;;
Vulpia myuros;Vulpia myuros;SPECIES;brak w tabeli dopasowań;;;
Warnstorfia exannulata;Warnstorfia exannulata;SPECIES;brak w tabeli dopasowań;;;
Warnstorfia sarmentosa;Warnstorfia sarmentosa;SPECIES;brak w tabeli dopasowań;;;
Zannichellia palustris subsp. palustris;Zannichellia palustris ssp. palustris;SUBSPECIES;brak w tabeli dopasowań;;;
