POZIOM;NAZWA_LAT;NAZWA_PL;PROG_5;GRUPA_STAWKI;GRUPA_KRZEWY;POMNIK_130;ZWOLN_130;OWOCOWE;IGO;OCHRONA;ZRODLO;WERYFIKACJA
rodzaj;Pyrus;grusza;50;3;;150;80;1;;;1330/2300/83f;
rodzaj;Malus;jabłoń;50;3;;100;80;1;;;1330/2300/83f;
gatunek;Sorbus aucuparia;jarząb pospolity;50;3;;100;80;;;;1330/2300;
gatunek;Acer campestre;klon polny;50;3;;150;80;;;;1330/2300;
gatunek;Gymnocladus dioicus;kłęk amerykański;50;3;;;80;;;;1330;
gatunek;Phellodendron amurense;korkowiec amurski;50;3;;;80;;;;1330;
gatunek;Corylus colurna;leszczyna turecka;50;3;;250;80;;;;1330/2300;
rodzaj;Magnolia;magnolia;50;3;;150;80;;;;1330/2300;akt: "magnolia drzewiasta" (pomniki)
gatunek;Ginkgo biloba;miłorząb japoński;50;3;;150;80;;;;1330/2300;
rodzaj;Morus;morwa;50;3;;;80;1;;;1330;
rodzaj;Carya;orzesznik;50;3;;;80;;;;1330;
gatunek;Hippophae rhamnoides;rokitnik zwyczajny;50;3;;50;80;;;czesciowa;1330/2300/1409;zał.2 - źródło wtórne, sprawdzić
rodzaj;Catalpa;surmia;50;3;;;80;;;;1330;
gatunek;Liriodendron tulipifera;tulipanowiec amerykański;50;3;;200;80;;;;1330/2300;
gatunek;Prunus mahaleb;wiśnia wonna;50;3;;;80;;;;1330;wyjęta z grupy 2 wprost w akcie
rodzaj;Taxus;cis;50;4;;;80;;;;1330;
gatunek;Taxus baccata;cis pospolity;50;4;;50;80;;;czesciowa;1330/2300/1409;zał.2 - źródło wtórne, sprawdzić
rodzaj;Chamaecyparis;cyprysik;50;4;;100;80;;;;1330/2300;
rodzaj;Crataegus;głóg;50;4;;100;80;;;;1330/2300;
rodzaj;Juniperus;jałowiec;50;4;;;80;;;;1330;
gatunek;Juniperus communis;jałowiec pospolity;50;4;;50;80;;;;1330/2300;
rodzaj;Sorbus;jarząb (pozostałe);50;4;;;80;;;;1330;
gatunek;Sorbus intermedia;jarząb szwedzki;50;4;;100;80;;;scisla;1330/2300/1409;zał.1, bez odstępstwa (3)
gatunek;Sorbus torminalis;jarząb brekinia;50;4;;;80;;;scisla;1330/1409;zał.1, bez odstępstwa (3)
rodzaj;Elaeagnus;oliwnik;50;4;;;80;;;;1330;
gatunek;Thuja occidentalis;żywotnik zachodni;50;4;;100;80;;;;1330/2300;
gatunek;Sambucus racemosa;bez koralowy;50;5;;50;80;;;;2300;
gatunek;Sambucus nigra;bez czarny;50;5;;100;80;;;;2300;
gatunek;Frangula alnus;kruszyna pospolita;50;5;;50;80;;;;2300;
gatunek;Rhamnus cathartica;szakłak pospolity;50;5;;50;80;;;;2300;
rodzaj;Euonymus;trzmielina;50;5;;50;80;;;;2300;
gatunek;Corylus avellana;leszczyna pospolita;50;5;;100;80;1;;;2300;
gatunek;Prunus domestica;śliwa domowa;50;5;;;80;1;;;83f;
gatunek;Cydonia oblonga;pigwa pospolita;50;5;;;80;1;;;83f;
gatunek;Rosa gallica;róża francuska;50;5;;;80;;;scisla;1409;ochrona czynna (1)
gatunek;Daphne cneorum;wawrzynek główkowy;50;5;;;80;;;scisla;1409;ochrona czynna (1), bez odstępstwa (3)
